"41","Chad","ACP; AfDB; AU; BDEAC; CEMAC; EITI (candidate country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIC; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; UNOCI; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO"
"42","Chile","APEC; BIS; BRICS; CAN (associate); CD; CELAC; FAO; G-15; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA; Mercosur (associate); MIGA; MINUSTAH; NAM; OAS; OECD (Enhanced Engagement; OPANAL; OPCW; PCA; SICA (observer); UN; UNASUR; UNCTAD; UNESCO; UNFICYP; UNHCR; UNIDO; Union Latina; UNMOGIP; UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"43","China","ADB; AfDB (nonregional member); APEC; ARF; ASEAN (dialogue partner); BIS; CDB; CICA; EAS; FAO; FATF; G-20; G-24 (observer); G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM (observer); IPU; ISO; ITSO; ITU; LAIA (observer); MIGA; MINURSO; MONUSCO; NAM (observer); NSG; OAS (observer); OPCW; PCA; PIF (partner); SAARC (observer); SCO; SICA (observer); UN; UNAMID; UNCTAD; UNESCO; UNFICYP; UNHCR; UNIDO; UNIFIL; UNISFA; UNMIL; UNMISS; UNMIT; UNOCI; UNSC (permanent); UNTSO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO; ZC"
"44","Christmas Island","none"
"45","Cocos (Keeling) Islands","none"
"46","Colombia","BCIE; BIS; CAN; Caricom (observer); CD; CDB; CELAC; FAO; G-3; G-24; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA; Mercosur (associate); MIGA; NAM; OAS; OPANAL; OPCW; PCA; UN; UNASUR; UNCTAD; UNESCO; UNHCR; UNIDO; Union Latina; UNSC (temporary); UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"47","Comoros","ACP; AfDB; AMF; AOSIS; AU; CAEU (candidates); COMESA; FAO; FZ; G-77; IBRD; ICAO; ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; InOC; Interpol; IOC; IOM; ITSO; ITU; ITUC (NGOs); LAS; NAM; OIC; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; UPU; WCO; WHO; WIPO; WMO; WTO (observer)"
"48","Congo, Democratic Republic of the","ACP; AfDB; AU; CEPGL; COMESA; EITI (candidate country); FAO; G-24; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIF; OPCW; PCA; SADC; UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"49","Congo, Republic of the","ACP; AfDB; AU; BDEAC; CEMAC; EITI (candidate country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIF; OPCW; UN; UNCTAD; UNESCO; UNHCR; UNIDO; UNITAR; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"50","Cook Islands","ACP; ADB; AOSIS; FAO; ICAO; ICRM; IFAD; IFRCS; IMO; IMSO; IOC; ITUC (NGOs); OPCW; PIF; Sparteca; SPC; UNESCO; UPU; WHO; WMO"
"51","Costa Rica","BCIE; CACM; CD; CELAC; FAO; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA (observer); MIGA; NAM (observer); OAS; OPANAL; OPCW; PCA; SICA; UN; UNCTAD; UNESCO; UNHCR; UNIDO; Union Latina; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
"52","Cote d'Ivoire","ACP; AfDB; AU; ECOWAS; EITI (candidate country); Entente; FAO; FZ; G-24; G-77; IAEA; IBRD; ICAO; ICC; ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIC; OIF; OPCW; UN; UNCTAD; UNESCO; UNHCR; UNIDO; Union Latina; UNWTO; UPU; WADB (regional); WAEMU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO"
