Result Number,Data Source,Result Row,Source Page URL,Country,International organization participation
34,World Factbook internation organizations,34,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Burma,ADB; ARF; ASEAN; BIMSTEC; CP; EAS; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; ITUC (NGOs); NAM; OPCW (signatory); SAARC (observer); UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO
35,World Factbook internation organizations,35,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Burundi,ACP; AfDB; AU; CEPGL; COMESA; EAC; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; ITUC (NGOs); MIGA; NAM; OIF; OPCW; UN; UNAMID; UNCTAD; UNESCO; UNIDO; UNISFA; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO
36,World Factbook internation organizations,36,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Cabo Verde,ACP; AfDB; AOSIS; AU; CD; CPLP; ECOWAS; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; Union Latina; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO
37,World Factbook internation organizations,37,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Cambodia,ADB; ARF; ASEAN; CICA; CICA (observer); EAS; FAO; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; IMO; Interpol; IOC; IOM; IPU; ISO (correspondent); ITU; MIGA; NAM; OIF; OPCW; PCA; UN; UNCTAD; UNESCO; UNIDO; UNIFIL; UNMISS; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
38,World Factbook internation organizations,38,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Cameroon,ACP; AfDB; AU; BDEAC; C; CEMAC; EITI (candidate country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IDB; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MONUSCO; NAM; OIC; OIF; OPCW; PCA; UN; UNAMID; UNCTAD; UNESCO; UNHCR; UNIDO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
39,World Factbook internation organizations,39,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Canada,ADB (nonregional member); AfDB (nonregional member); APEC; Arctic Council; ARF; ASEAN (dialogue partner); Australia Group; BIS; C; CD; CDB; CE (observer); EAPC; EBRD; EITI (implementing country); FAO; FATF; G-20; G-7; G-8; G-10; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IEA; IFAD; IFC; IFRCS; IGAD (partners); IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); MIGA; MINUSTAH; MONUSCO; NAFTA; NATO; NEA; NSG; OAS; OECD; OIF; OPCW; OSCE; Paris Club; PCA; PIF (partner); UN; UNAMID; UNCTAD; UNESCO; UNFICYP; UNHCR; UNMISS; UNRWA; UNTSO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO; ZC
40,World Factbook internation organizations,40,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Cayman Islands,Caricom (associate); CDB; Interpol (subbureau); IOC; UNESCO (associate); UPU
41,World Factbook internation organizations,41,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Central African Republic,ACP; AfDB; AU; BDEAC; CEMAC; EITI (compliant country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIC; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO
42,World Factbook internation organizations,42,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Chad,ACP; AfDB; AU; BDEAC; CEMAC; EITI (candidate country); FAO; FZ; G-77; IAEA; IBRD; ICAO; ICRM; IDA; IDB; IFAD; IFC; IFRCS; ILO; IMF; Interpol; IOC; IOM; IPU; ITSO; ITU; ITUC (NGOs); MIGA; NAM; OIC; OIF; OPCW; UN; UNCTAD; UNESCO; UNIDO; UNOCI; UNWTO; UPU; WCO; WHO; WIPO; WMO; WTO
43,World Factbook internation organizations,43,https://www.cia.gov/library/publications/the-world-factbook/fields/2107.html,Chile,APEC; BIS; BRICS; CAN (associate); CD; CELAC; FAO; G-15; G-77; IADB; IAEA; IBRD; ICAO; ICC (national committees); ICRM; IDA; IFAD; IFC; IFRCS; IHO; ILO; IMF; IMO; IMSO; Interpol; IOC; IOM; IPU; ISO; ITSO; ITU; ITUC (NGOs); LAES; LAIA; Mercosur (associate); MIGA; MINUSTAH; NAM; OAS; OECD (Enhanced Engagement; OPANAL; OPCW; PCA; SICA (observer); UN; UNASUR; UNCTAD; UNESCO; UNFICYP; UNHCR; UNIDO; Union Latina; UNMOGIP; UNTSO; UNWTO; UPU; WCO; WFTU (NGOs); WHO; WIPO; WMO; WTO
